PN_order,model,pade_num_degree,pade_den_degree,pade_label,sigma_power,a_max,S_max,M_at_max,J_at_max,chi_at_max,Ebind_at_max,a_merger_NR,delta_a,cost_Ebind,cost_chi,nfev_Ebind,nfev_chi,a_extrap_min,a_extrap_max,n_extrap,n_physical_points,physical_fraction,flags,status,error
2PN,Padé [2/1],2,1,Padé [2/1],1.0,4.125112511251125,10.924136633671704,0.9856382342966412,0.5960396201797515,0.6135359924000919,-0.014361765703358686,3.141313659672962,0.9837988515781628,1.7966137466629561e-09,1.608771915684315e-08,11,12,1.0,15.0,10000,10000,1.0,OK,success,
2PN,Padé [2/1],2,1,Padé [2/1],2.0,4.132113211321132,10.92338550397216,0.9856685261836609,0.5963675564256439,0.6138358240651339,-0.014331473816338985,3.141313659672962,0.9907995516481698,1.100521673791377e-09,6.773948069138669e-09,10,11,1.0,15.0,10000,10000,1.0,OK,success,
2PN,Padé [2/1],2,1,Padé [2/1],3.0,4.140514051405141,10.922636893222249,0.9856998182673063,0.5967004992377287,0.6141395242668594,-0.01430018173269356,3.141313659672962,0.9992003917321792,6.683429365494931e-10,2.84614198875488e-09,9,11,1.0,15.0,10000,10000,1.0,OK,success,
2PN,Padé [2/1],2,1,Padé [2/1],4.0,4.157315731573158,10.921137508769919,0.9857151618430056,0.5970950895050348,0.6145265149310108,-0.014284838156994332,3.141313659672962,1.0160020719001963,5.002223080197155e-10,1.1922993703450402e-09,6,11,1.0,15.0,10000,10000,1.0,OK,success,
2PN,Padé [3/1],3,1,Padé [3/1],1.0,3.899689968996899,10.935856775315301,0.9864429780981877,0.598265997263146,0.6148233442195228,-0.013557021901812157,3.141313659672962,0.7583763093239373,1.2276402117095131e-11,5.840061767514726e-10,1,1583,1.0,15.0,10000,10000,1.0,OK,success,
2PN,Padé [3/1],3,1,Padé [3/1],2.0,3.8954895489548953,10.936068215103813,0.9864625834775537,0.598335355647468,0.614870181021392,-0.013537416522446229,3.141313659672962,0.7541758892819335,4.912292794756468e-12,2.4869795112181237e-10,1,17,1.0,15.0,10000,10000,1.0,OK,success,
2PN,Padé [3/1],3,1,Padé [3/1],3.0,3.892689268926892,10.936196801193343,0.9864829555774631,0.5984260210561139,0.6149379526887013,-0.013517044422536744,3.141313659672962,0.7513756092539303,1.9164669851079452e-12,1.0122724880545775e-10,1,17,1.0,15.0,10000,10000,1.0,OK,success,
2PN,Padé [3/1],3,1,Padé [3/1],4.0,3.889888988898891,10.936288268741027,0.9865022304248136,0.5985179557565801,0.6150083905972186,-0.013497769575186372,3.141313659672962,0.748575329225929,6.750155989720952e-13,4.0558445491001294e-11,1,17,1.0,15.0,10000,10000,1.0,OK,success,
2PN,Padé [2/2],2,2,Padé [2/2],1.0,3.906690669066906,10.940069040272084,0.9858648106938008,0.5940722160890936,0.61122978770902,-0.014135189306199074,3.141313659672962,0.7653770093939443,5.604205988163358e-11,1.6087741805392852e-08,14,19,1.0,15.0,10000,10000,1.0,OK,success,
2PN,Padé [2/2],2,2,Padé [2/2],2.0,3.9122912291229124,10.93945513711652,0.9859015160332688,0.5944107362884201,0.6115325472712927,-0.01409848396673107,3.141313659672962,0.7709775694499506,2.528310893978869e-11,6.773958727279705e-09,8,21,1.0,15.0,10000,10000,1.0,OK,success,
